make_model,hp_kW,km,age,Gearing_Type,Gears,Fuel,price
84,Audi A1,66.0,24200.0,2.0,Automatic,7.0,Diesel,18490
85,Audi A1,66.0,26500.0,2.0,Automatic,7.0,Diesel,18490
86,Audi A1,71.0,58806.0,3.0,Automatic,7.0,Benzine,18490
87,Audi A1,85.0,39000.0,3.0,Automatic,7.0,Diesel,18500
88,Audi A1,92.0,16700.0,2.0,Automatic,7.0,Benzine,18490
89,Audi A1,92.0,41900.0,3.0,Automatic,7.0,Benzine,18490
90,Audi A1,92.0,15093.0,3.0,Automatic,7.0,Benzine,18480
91,Audi A1,66.0,5211.0,1.0,Automatic,7.0,Diesel,18480
92,Audi A1,70.0,12000.0,1.0,Automatic,7.0,Benzine,18470
93,Audi A1,92.0,50066.0,3.0,Automatic,7.0,Benzine,18444
94,Audi A1,71.0,51484.0,2.0,Automatic,7.0,Benzine,18400
95,Audi A1,85.0,14770.0,1.0,Automatic,7.0,Diesel,18400
96,Audi A1,85.0,12415.0,1.0,Automatic,7.0,Diesel,18900
97,Audi A1,85.0,26064.0,1.0,Automatic,7.0,Diesel,18900
98,Audi A1,85.0,16500.0,1.0,Automatic,7.0,Diesel,18900
99,Audi A1,92.0,9000.0,3.0,Automatic,7.0,Benzine,18900
100,Audi A1,85.0,12402.0,1.0,Automatic,7.0,Diesel,18900
101,Audi A1,85.0,14702.0,1.0,Automatic,7.0,Diesel,18900
102,Audi A1,85.0,14523.0,1.0,Automatic,7.0,Diesel,18900
103,Audi A1,85.0,9082.0,1.0,Automatic,7.0,Diesel,18900
104,Audi A1,85.0,9580.0,1.0,Automatic,5.0,Diesel,18900
105,Audi A1,85.0,10013.0,1.0,Automatic,5.0,Diesel,18900
106,Audi A1,85.0,10450.0,1.0,Automatic,5.0,Diesel,18900
107,Audi A1,85.0,14878.0,1.0,Automatic,7.0,Diesel,18900
108,Audi A1,85.0,10273.0,1.0,Automatic,5.0,Diesel,18900
109,Audi A1,71.0,47500.0,3.0,Automatic,7.0,Benzine,18900
110,Audi A1,85.0,9466.0,1.0,Automatic,5.0,Diesel,18900
111,Audi A1,85.0,18971.0,1.0,Automatic,7.0,Diesel,18900
112,Audi A1,70.0,31877.0,1.0,Automatic,7.0,Benzine,18900
113,Audi A1,85.0,9878.0,1.0,Automatic,5.0,Diesel,18900
114,Audi A1,70.0,17535.0,1.0,Automatic,7.0,Benzine,18900
115,Audi A1,92.0,76264.0,3.0,Automatic,7.0,Benzine,18850
116,Audi A1,70.0,6695.0,1.0,Automatic,7.0,Benzine,18850
117,Audi A1,92.0,21275.0,3.0,Automatic,7.0,Benzine,18850
118,Audi A1,66.0,12261.0,1.0,Automatic,7.0,Diesel,18850
119,Audi A1,70.0,3620.0,1.0,Automatic,7.0,Benzine,18840
120,Audi A1,85.0,8330.0,1.0,Automatic,5.0,Diesel,18800
121,Audi A1,70.0,20306.0,1.0,Automatic,7.0,Benzine,18750
122,Audi A1,85.0,1.0,0.0,Automatic,7.0,Benzine,18730
123,Audi A1,85.0,27000.0,3.0,Automatic,7.0,Diesel,18700
124,Audi A1,92.0,31750.0,3.0,Automatic,7.0,Benzine,18690
125,Audi A1,70.0,19800.0,2.0,Automatic,7.0,Benzine,18600
126,Audi A1,85.0,52000.0,3.0,Automatic,7.0,Diesel,18500
127,Audi A1,70.0,15500.0,1.0,Automatic,7.0,Benzine,18500
128,Audi A1,92.0,25977.0,3.0,Automatic,7.0,Benzine,18620
129,Audi A1,70.0,9000.0,2.0,Automatic,7.0,Benzine,18500
130,Audi A1,66.0,65000.0,2.0,Automatic,7.0,Diesel,18500
131,Audi A1,85.0,14493.0,1.0,Automatic,7.0,Diesel,18500
132,Audi A1,92.0,33500.0,2.0,Automatic,7.0,Benzine,18500
133,Audi A1,70.0,4800.0,1.0,Automatic,7.0,Benzine,18333
134,Audi A1,70.0,51000.0,3.0,Automatic,7.0,Benzine,18350
135,Audi A1,70.0,7307.0,2.0,Automatic,7.0,Benzine,18349
136,Audi A1,70.0,4800.0,1.0,Automatic,7.0,Benzine,18333
137,Audi A1,70.0,5500.0,1.0,Automatic,7.0,Benzine,18333
138,Audi A1,66.0,35500.0,1.0,Automatic,7.0,Diesel,18300
139,Audi A1,92.0,18000.0,2.0,Automatic,7.0,Benzine,18300
140,Audi A1,92.0,40000.0,2.0,Automatic,7.0,Benzine,18290
141,Audi A1,85.0,14551.0,1.0,Automatic,7.0,Diesel,18250
142,Audi A1,85.0,16500.0,1.0,Automatic,6.0,Diesel,18200
143,Audi A1,85.0,26700.0,3.0,Automatic,7.0,Diesel,18185
144,Audi A1,70.0,8000.0,2.0,Automatic,7.0,Benzine,18150
145,Audi A1,85.0,15000.0,1.0,Automatic,6.0,Diesel,18000
146,Audi A1,92.0,14436.0,2.0,Automatic,7.0,Benzine,17998
147,Audi A1,92.0,72624.0,3.0,Automatic,7.0,Benzine,17998
148,Audi A1,66.0,13960.0,3.0,Automatic,7.0,Diesel,17990
149,Audi A1,92.0,40301.0,3.0,Automatic,7.0,Benzine,17990
150,Audi A1,71.0,19990.0,2.0,Automatic,7.0,Benzine,17990
151,Audi A1,70.0,3087.0,1.0,Automatic,7.0,Benzine,17990
152,Audi A1,66.0,37626.0,3.0,Automatic,7.0,Diesel,17989
153,Audi A1,70.0,22980.0,2.0,Automatic,7.0,Benzine,17980
154,Audi A1,66.0,57926.0,3.0,Automatic,7.0,Diesel,17980
155,Audi A1,92.0,3900.0,2.0,Automatic,7.0,Benzine,17970
156,Audi A1,92.0,7924.0,3.0,Automatic,7.0,Benzine,17980
157,Audi A1,85.0,6257.0,2.0,Automatic,7.0,Diesel,17970
158,Audi A1,85.0,29800.0,3.0,Automatic,7.0,Diesel,17950
159,Audi A1,70.0,35816.0,3.0,Automatic,7.0,Benzine,17950
160,Audi A1,92.0,12960.0,1.0,Automatic,7.0,Benzine,17950
161,Audi A1,70.0,8600.0,1.0,Automatic,7.0,Benzine,17950
162,Audi A1,70.0,14300.0,2.0,Automatic,7.0,Diesel,17950
163,Audi A1,70.0,9463.0,1.0,Automatic,7.0,Benzine,17944
164,Audi A1,92.0,20326.0,3.0,Automatic,7.0,Benzine,17940
165,Audi A1,70.0,70000.0,3.0,Automatic,7.0,Benzine,17950
166,Audi A1,66.0,23664.0,1.0,Automatic,7.0,Diesel,17500
167,Audi A1,66.0,51900.0,3.0,Automatic,7.0,Diesel,17500
168,Audi A1,70.0,15000.0,2.0,Automatic,7.0,Benzine,17500
169,Audi A1,92.0,33000.0,3.0,Automatic,7.0,Benzine,17500
170,Audi A1,66.0,12000.0,3.0,Automatic,7.0,Diesel,17450
171,Audi A1,66.0,42000.0,2.0,Automatic,7.0,Diesel,17500
172,Audi A1,85.0,25976.0,2.0,Automatic,7.0,Diesel,17930
173,Audi A1,70.0,26299.0,2.0,Automatic,5.0,Benzine,17500
174,Audi A1,70.0,40000.0,2.0,Automatic,7.0,Benzine,17495
175,Audi A1,66.0,36530.0,2.0,Automatic,7.0,Diesel,17490
176,Audi A1,67.0,29159.0,2.0,Automatic,7.0,Diesel,17490
177,Audi A1,141.0,55000.0,3.0,Automatic,7.0,Benzine,17490
178,Audi A1,70.0,40133.0,3.0,Automatic,7.0,Benzine,17449
179,Audi A1,92.0,38562.0,2.0,Automatic,7.0,Benzine,17445
180,Audi A1,70.0,7300.0,1.0,Automatic,7.0,Benzine,17444
181,Audi A1,92.0,10457.0,2.0,Automatic,7.0,Benzine,17440
182,Audi A1,70.0,27058.0,3.0,Automatic,7.0,Benzine,17420
183,Audi A1,70.0,38344.0,3.0,Automatic,7.0,Benzine,17450
184,Audi A1,110.0,45276.0,3.0,Automatic,7.0,Benzine,17445
185,Audi A1,70.0,16607.0,1.0,Automatic,7.0,Benzine,17370
186,Audi A1,70.0,26462.0,3.0,Automatic,7.0,Benzine,17350
187,Audi A1,66.0,62000.0,2.0,Automatic,7.0,Diesel,17900
188,Audi A1,85.0,40257.0,2.0,Automatic,7.0,Diesel,17930
189,Audi A1,85.0,36709.0,3.0,Automatic,7.0,Diesel,17920
190,Audi A1,70.0,25330.0,2.0,Automatic,7.0,Benzine,17900
191,Audi A1,66.0,11300.0,3.0,Automatic,7.0,Diesel,17900
192,Audi A1,70.0,10170.0,1.0,Automatic,7.0,Benzine,17900
193,Audi A1,85.0,12260.0,1.0,Automatic,7.0,Diesel,17900
194,Audi A1,70.0,44604.0,3.0,Automatic,7.0,Benzine,17900
195,Audi A1,71.0,25751.0,2.0,Automatic,7.0,Benzine,17900
196,Audi A1,70.0,13000.0,2.0,Automatic,7.0,Benzine,17900
197,Audi A1,70.0,63136.0,3.0,Automatic,7.0,Benzine,17900
198,Audi A1,85.0,21900.0,2.0,Automatic,7.0,Diesel,17900
199,Audi A1,70.0,23357.0,3.0,Automatic,7.0,Benzine,17900
200,Audi A1,110.0,40000.0,3.0,Automatic,7.0,Benzine,17900
201,Audi A1,70.0,63136.0,3.0,Automatic,7.0,Benzine,17900
202,Audi A1,92.0,27950.0,3.0,Automatic,7.0,Benzine,17890
203,Audi A1,70.0,3150.0,3.0,Automatic,7.0,Benzine,16900
204,Audi A1,70.0,4810.0,1.0,Automatic,7.0,Benzine,17900
205,Audi A1,66.0,32700.0,2.0,Automatic,7.0,Diesel,16900
206,Audi A1,66.0,67790.0,3.0,Automatic,7.0,Diesel,16900
207,Audi A1,85.0,63500.0,2.0,Automatic,7.0,Diesel,17890
208,Audi A1,93.0,37702.0,2.0,Automatic,7.0,Benzine,17900
209,Audi A1,66.0,40164.0,2.0,Automatic,7.0,Diesel,17900
210,Audi A1,71.0,47750.0,3.0,Automatic,7.0,Benzine,16900
211,Audi A1,92.0,39600.0,3.0,Automatic,7.0,Benzine,16890
212,Audi A1,70.0,29200.0,3.0,Automatic,7.0,Benzine,16890
213,Audi A1,70.0,32103.0,3.0,Automatic,7.0,Benzine,16880
214,Audi A1,70.0,19700.0,2.0,Automatic,7.0,Benzine,16880
215,Audi A1,70.0,6680.0,2.0,Automatic,8.0,Benzine,16880
216,Audi A1,92.0,49100.0,3.0,Automatic,6.0,Benzine,16880
217,Audi A1,92.0,30348.0,3.0,Automatic,7.0,Benzine,16879
218,Audi A1,66.0,7680.0,2.0,Automatic,7.0,Diesel,16870
219,Audi A1,66.0,36400.0,3.0,Automatic,7.0,Diesel,16850
220,Audi A1,92.0,49800.0,3.0,Automatic,7.0,Benzine,16840
221,Audi A1,92.0,50200.0,3.0,Automatic,7.0,Benzine,16830
222,Audi A1,92.0,47500.0,3.0,Automatic,7.0,Benzine,16876
223,Audi A1,70.0,24762.0,2.0,Automatic,7.0,Benzine,16820
224,Audi A1,70.0,36236.0,3.0,Automatic,5.0,Benzine,16800
225,Audi A1,92.0,38831.0,3.0,Automatic,7.0,Benzine,16790
226,Audi A1,66.0,18556.0,2.0,Automatic,7.0,Diesel,16780
227,Audi A1,85.0,36625.0,3.0,Automatic,7.0,Diesel,16530
228,Audi A1,92.0,25000.0,3.0,Automatic,7.0,Benzine,16500
229,Audi A1,85.0,36041.0,2.0,Automatic,7.0,Diesel,16500
230,Audi A1,85.0,36500.0,3.0,Automatic,7.0,Diesel,16500
231,Audi A1,92.0,25000.0,3.0,Automatic,7.0,Benzine,16500
232,Audi A1,85.0,66000.0,3.0,Automatic,7.0,Diesel,16500
233,Audi A1,67.0,90000.0,3.0,Automatic,7.0,Diesel,16490
234,Audi A1,70.0,14000.0,3.0,Automatic,7.0,Benzine,16490
235,Audi A1,70.0,16081.0,3.0,Automatic,7.0,Benzine,16490
236,Audi A1,92.0,32863.0,3.0,Automatic,6.0,Benzine,16480
237,Audi A1,70.0,54889.0,3.0,Automatic,7.0,Benzine,16480
238,Audi A1,70.0,18392.0,3.0,Automatic,7.0,Benzine,16450
239,Audi A1,92.0,40800.0,3.0,Automatic,7.0,Benzine,16480
240,Audi A1,66.0,60490.0,3.0,Automatic,7.0,Diesel,16480
241,Audi A1,70.0,33142.0,3.0,Automatic,7.0,Benzine,16444
242,Audi A1,92.0,40500.0,3.0,Automatic,6.0,Benzine,16430
243,Audi A1,92.0,13819.0,3.0,Automatic,7.0,Benzine,16443
244,Audi A1,66.0,18800.0,3.0,Automatic,7.0,Diesel,17300
245,Audi A1,92.0,40550.0,3.0,Automatic,7.0,Benzine,17240
246,Audi A1,70.0,25000.0,3.0,Automatic,7.0,Benzine,17150
247,Audi A1,85.0,46000.0,2.0,Automatic,7.0,Diesel,17000
248,Audi A1,85.0,31987.0,2.0,Automatic,7.0,Diesel,16999
249,Audi A1,110.0,52800.0,3.0,Automatic,7.0,Benzine,16999
250,Audi A1,67.0,57178.0,3.0,Automatic,7.0,Diesel,16995
251,Audi A1,85.0,36500.0,2.0,Automatic,7.0,Diesel,16990
252,Audi A1,70.0,14000.0,2.0,Automatic,7.0,Benzine,16990
253,Audi A1,92.0,59500.0,3.0,Automatic,7.0,Benzine,16980
254,Audi A1,85.0,26861.0,3.0,Automatic,7.0,Diesel,16970
255,Audi A1,70.0,13200.0,1.0,Automatic,7.0,Benzine,16950
256,Audi A1,70.0,19177.0,2.0,Automatic,7.0,Benzine,16975
257,Audi A1,70.0,19044.0,2.0,Automatic,7.0,Benzine,16950
258,Audi A1,70.0,40500.0,3.0,Automatic,7.0,Benzine,16930
259,Audi A1,66.0,33000.0,2.0,Automatic,7.0,Diesel,16900
260,Audi A1,66.0,21000.0,2.0,Automatic,7.0,Diesel,16900
261,Audi A1,85.0,58033.0,3.0,Automatic,7.0,Diesel,16900
262,Audi A1,85.0,32000.0,2.0,Automatic,7.0,Diesel,16900
263,Audi A1,70.0,12500.0,3.0,Automatic,7.0,Benzine,17890
264,Audi A1,66.0,36530.0,2.0,Automatic,7.0,Diesel,17890
265,Audi A1,70.0,5991.0,1.0,Automatic,7.0,Benzine,17880
266,Audi A1,70.0,33306.0,2.0,Automatic,7.0,Benzine,17880
267,Audi A1,92.0,52896.0,3.0,Automatic,7.0,Benzine,17850
268,Audi A1,85.0,32000.0,2.0,Automatic,7.0,Diesel,17750
269,Audi A1,92.0,9998.0,2.0,Automatic,7.0,Benzine,17820
270,Audi A1,67.0,49198.0,3.0,Automatic,7.0,Diesel,17790
271,Audi A1,66.0,28600.0,2.0,Automatic,7.0,Diesel,17777
272,Audi A1,92.0,59000.0,2.0,Automatic,7.0,Benzine,17820
273,Audi A1,70.0,10300.0,1.0,Automatic,7.0,Benzine,17770
274,Audi A1,70.0,24550.0,2.0,Automatic,7.0,Benzine,17700
275,Audi A1,85.0,26000.0,3.0,Automatic,7.0,Diesel,17700
276,Audi A1,70.0,40800.0,3.0,Automatic,7.0,Benzine,17700
277,Audi A1,70.0,24550.0,2.0,Automatic,7.0,Benzine,17700
278,Audi A1,70.0,7701.0,1.0,Automatic,7.0,Benzine,17660
279,Audi A1,92.0,19500.0,2.0,Automatic,7.0,Benzine,17650
280,Audi A1,66.0,45605.0,2.0,Automatic,7.0,Diesel,17650
281,Audi A1,92.0,45200.0,3.0,Automatic,7.0,Benzine,17530
282,Audi A1,70.0,22500.0,2.0,Automatic,5.0,Benzine,17500
283,Audi A1,85.0,44585.0,3.0,Automatic,7.0,Diesel,15420
284,Audi A1,70.0,32750.0,3.0,Automatic,7.0,Benzine,15250
285,Audi A1,66.0,61980.0,3.0,Automatic,7.0,Diesel,15250
286,Audi A1,70.0,37500.0,2.0,Automatic,7.0,Benzine,15190
287,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
288,Audi A1,66.0,49600.0,3.0,Automatic,5.0,Diesel,15200
289,Audi A1,85.0,76275.0,3.0,Automatic,7.0,Diesel,15180
290,Audi A1,85.0,46900.0,3.0,Automatic,7.0,Diesel,15380
